SYMBOL,COMPANY
BAJAJFINSV,BAJAJ FINSERV LTD.       
ABB,ABB INDIA LIMITED        
NHPC,NHPC LTD                 
HINDPETRO,HINDUSTAN PETROLEUM CORP 
VEDL,VEDANTA LIMITED          
DIVISLAB,DIVI'S LABORATORIES LTD  
ACC,ACC LIMITED              
GSKCONS,GLAXOSMITHKLINE CONSUMER 
LICHSGFIN,LIC HOUSING FINANCE LTD  
CONCOR,CONTAINER CORP OF IND LTD
CUMMINSIND,CUMMINS INDIA LTD        
TORNTPHARM,TORRENT PHARMACEUTICALS L
PFC,POWER FIN CORP LTD.      
COLPAL,COLGATE PALMOLIVE LTD.   
GLENMARK,GLENMARK PHARMACEUTICALS 
UBL,UNITED BREWERIES LTD     
SRTRANSFIN,SHRIRAM TRANSPORT FIN CO.
EMAMILTD,EMAMI LIMITED            
UPL,UPL LIMITED              
DLF,DLF LIMITED              
PGHH,P&G HYGIENE & HEALTH CARE
BHARATFORG,BHARAT FORGE LTD         
HAVELLS,HAVELLS INDIA LIMITED    
OIL,OIL INDIA LTD            
PETRONET,PETRONET LNG LIMITED     
CASTROLIND,CASTROL INDIA LIMITED    
APOLLOHOSP,APOLLO HOSPITALS ENTER. L
RAJESHEXPO,RAJESH EXPORTS LTD       
HINDALCO,HINDALCO  INDUSTRIES  LTD
PEL,PIRAMAL ENTERPRISES LTD  
SAIL,STEEL AUTHORITY OF INDIA 
TATAPOWER,TATA POWER CO LTD        
BERGEPAINT,BERGER PAINTS (I) LTD    
PNB,PUNJAB NATIONAL BANK     
RECLTD,RURAL ELEC CORP. LTD.    
IDFCBANK,IDFC BANK LIMITED        
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD
MRF,MRF LTD                  
ALKEM,ALKEM LABORATORIES LTD.  
TVSMOTOR,TVS MOTOR COMPANY  LTD   
KANSAINER,KANSAI NEROLAC PAINTS LTD
AMARAJABAT,AMARA RAJA BATTERIES LTD.
SUNTV,SUN TV NETWORK LIMITED   
SUNDARMFIN,SUNDARAM FINANCE LTD     
GILLETTE,GILLETTE INDIA LTD       
BLUEDART,BLUE DART EXPRESS LTD    
RELINFRA,RELIANCE INFRASTRUCTU LTD
M&MFIN,M&M FIN. SERVICES LTD    
RPOWER,RELIANCE POWER LTD.      
PAGEIND,PAGE INDUSTRIES LTD      
IDBI,IDBI BANK LIMITED        
CRISIL,CRISIL LTD               
RCOM,RELIANCE COMMUNICATIONS L
AJANTPHARM,AJANTA PHARMA LIMITED    
CENTRALBK,CENTRAL BANK OF INDIA    
3MINDIA,3M INDIA LIMITED         
NEYVELILIG,NEYVELI LIGNITE CORPORATI
GODREJIND,GODREJ INDUSTRIES LTD    
SJVN,SJVN LTD                 
WABCOINDIA,WABCO INDIA LIMITED      
EXIDEIND,EXIDE INDUSTRIES LTD     
MRPL,MRPL                     
JSWENERGY,JSW ENERGY LIMITED       
NBCC,NATIONAL BUILDINGS LTD   
APLLTD,ALEMBIC PHARMA LTD       
CHOLAFIN,CHOLAMANDALAM IN & FIN CO
ABFRL,ADITYA BIRLA FASHION & RT
ALSTOMT&D,ALSTOM T&D INDIA LIMITED 
L&TFH,L&T FINANCE HOLDINGS LTD 
TORNTPOWER,TORRENT POWER LTD        
MINDTREE,MINDTREE LIMITED         
WOCKPHARMA,WOCKHARDT LIMITED        
TATACOMM,TATA COMMUNICATIONS LTD  
ABIRLANUVO,ADITYA BIRLA NUVO LIMITED
VAKRANGEE,VAKRANGEE LIMITED        
MPHASIS,MPHASIS LIMITED          
CANBK,CANARA BANK              
NATIONALUM,NATIONAL ALUMINIUM CO LTD
ADANIPOWER,ADANI POWER LTD          
WELSPUNIND,WELSPUN INDIA LTD        
SHRIRAMCIT,SHRIRAM CITYUNI FIN.LTD. 
STAR,STRIDES SHASUN LIMITED   
BIOCON,BIOCON LIMITED.          
TATACHEM,TATA CHEMICALS LTD       
RAMCOCEM,THE RAMCO CEMENTS LIMITED
SUPREMEIND,SUPREME INDUSTRIES LTD   
RELCAPITAL,RELIANCE CAPITAL LTD     
NAUKRI,INFO EDGE (I) LTD        
DISHTV,DISH TV INDIA LTD.       
SANOFI,SANOFI INDIA LIMITED     
VOLTAS,VOLTAS LTD               
MFSL,MAX FINANCIAL SERV LTD   
THERMAX,THERMAX LTD              
UNIONBANK,UNION BANK OF INDIA      
WHIRLPOOL,WHIRLPOOL OF INDIA LTD   
APOLLOTYRE,APOLLO TYRES LTD         
AIAENG,AIA ENGINEERING LIMITED  
GRUH,GRUH FINANCE LTD.        
GPPL,GUJARAT PIPAVAV PORT LTD 
JUBLFOOD,JUBILANT FOODWORKS LTD   
SYMPHONY,SYMPHONY LIMITED         
PFIZER,PFIZER LTD               
OBEROIRLTY,OBEROI REALTY LIMITED    
IRB,IRB INFRA DEV LTD.       
FORTIS,FORTIS HEALTHCARE LTD    
HEXAWARE,HEXAWARE TECHNOLOGIES LTD
ADANIENT,ADANI ENTERPRISES LIMITED
INDHOTEL,THE INDIAN HOTELS CO. LTD
FEDERALBNK,FEDERAL BANK LTD         
GSPL,GUJARAT STATE PETRO LTD  
IGL,INDRAPRASTHA GAS LTD     
BANKINDIA,BANK OF INDIA            
PIIND,PI INDUSTRIES LTD        
SYNGENE,SYNGENE INTERNATIONAL LTD
TATAGLOBAL,TATA GLOBAL BEVERAGES LTD
LALPATHLAB,DR. LAL PATH LABS LTD.   
KAJARIACER,KAJARIA CERAMICS LTD     
GUJGASLTD,GUJARAT GAS LIMITED      
HONAUT,HONEYWELL AUTOMATION IND 
SRF,SRF LTD                  
IPCALAB,IPCA LABORATORIES LTD    
TUBEINVEST,TUBE INVESTMENTS OF INDIA
NATCOPHARM,NATCO PHARMA LTD.        
SUZLON,SUZLON ENERGY LIMITED    
MUTHOOTFIN,MUTHOOT FINANCE LIMITED  
SPARC,SUN PHARMA ADV.RES.CO.LTD
ARVIND,ARVIND LIMITED           
GMRINFRA,GMR INFRASTRUCTURE LTD.  
SKSMICRO,SKS MICROFINANCE LTD     
TV18BRDCST,TV18 BROADCAST LIMITED   
THOMASCOOK,THOMAS COOK (INDIA) LTD  
SKFINDIA,SKF INDIA LTD            
JUBILANT,JUBILANT LIFE SCIENCE LTD
BATAINDIA,BATA INDIA LTD           
PCJEWELLER,PC JEWELLER LTD          
IIFL,IIFL HOLDINGS LIMITED    
DALMIABHA,DALMIA BHARAT LIMITED    
PRESTIGE,PRESTIGE ESTATE LTD      
IDFC,IDFC LIMITED             
AKZOINDIA,AKZO NOBEL INDIA LIMITED 
MAHINDCIE,MAHINDRA CIE AUTO LTD    
FAGBEARING,FAG BEARINGS INDIA LTD   
CESC,CESC LTD                 
SOLARINDS,SOLAR INDUSTRIES (I) LTD 
JETAIRWAYS,JET AIRWAYS (INDIA) LTD. 
GODFRYPHLP,GODFREY PHILLIPS INDIA LT
BALKRISIND,BALKRISHNA IND. LTD      
PERSISTENT,PERSISTENT SYSTEMS LTD   
EIHOTEL,EIH LIMITED              
CENTURYTEX,CENTURY TEXTILES LTD     
GODREJPROP,GODREJ PROPERTIES LTD    
TATAELXSI,TATA ELXSI LIMITED       
NH,NARAYANA HRUDAYALAYA LTD.
INOXWIND,INOX WIND LIMITED        
ENGINERSIN,ENGINEERS INDIA LTD      
DHFL,DEWAN HOUSING FIN CORP LT
DBCORP,D.B.CORP LTD             
BAJAJCORP,BAJAJ CORP LIMITED       
GUJFLUORO,GUJARAT FLUOROCHEMICALS L
CUB,CITY UNION BANK LTD      
COROMANDEL,COROMANDEL INTERNTL. LTD 
JINDALSTEL,JINDAL STEEL & POWER LTD 
JUSTDIAL,JUSTDIAL LTD.            
KARURVYSYA,KARUR VYSYA BANK LTD     
ECLERX,ECLERX SERVICES LTD      
TRENT,TRENT LTD                
JYOTHYLAB,JYOTHY LABS LTD          
KRBL,KRBL LIMITED             
JAGRAN,JAGRAN PRAKASHAN LIMITED 
IOB,INDIAN OVERSEAS BANK     
SADBHAV,SADBHAV ENGINEERING LTD  
RELIGARE,RELIGARE ENTER. LTD.     
ADVANTA,ADVANTA LIMITED          
TTKPRESTIG,TTK PRESTIGE LTD         
RDEL,RELIANCE DEF AND ENGI LTD
FRL,FUTURE RETAIL LIMITED    
INDIANB,INDIAN BANK              
ASTRAL,ASTRAL POLY TECH LTD     
VTL,VARDHMAN TEXTILES LIMITED
CYIENT,CYIENT LIMITED           
JKCEMENT,JK CEMENT LIMITED        
GESHIP,THE GE SHPG.LTD          
HINDCOPPER,HINDUSTAN COPPER LTD     
COFFEEDAY,COFFEE DAY ENTERPRISE LTD
NETWORK18,NETWORK18 MEDIA & INV LTD
PHOENIXLTD,THE PHOENIX MILLS LTD    
REDINGTON,REDINGTON (INDIA) LTD.   
EDELWEISS,EDELWEISS FIN SERV LTD   
ATUL,ATUL LTD                 
FINPIPE,FINOLEX INDUSTRIES LTD   
HATSUN,HATSUN AGRO PRODUCT LTD. 
SYNDIBANK,SYNDICATE BANK           
CEATLTD,CEAT LIMITED             
RELAXO,RELAXO FOOT LTD.         
BEML,BEML LIMITED             
SUNCLAYLTD,SUNDARAM CLAYTON LIMITED 
FINCABLES,FINOLEX CABLES LTD       
AARTIIND,AARTI INDUSTRIES LTD     
NCC,NCC LIMITED              
UCOBANK,UCO BANK                 
ZENSARTECH,ZENSAR TECHNOLOGIES  LTD 
IFCI,IFCI LTD                 
AIL,ALSTOM INDIA LIMITED     
PRISMCEM,PRISM CEMENTS LTD        
JKLAKSHMI,JK LAKSHMI CEMENT LTD    
CORPBANK,CORPORATION BANK         
CAPF,CAPITAL FIRST LIMITED    
ICRA,ICRA LIMITED             
MOTILALOFS,MOTILAL OSWAL FIN LTD    
ALLCARGO,ALLCARGO LOGISTICS LTD   
ICIL,INDO COUNT INDUSTRIES LTD
EIDPARRY,EID PARRY INDIA LTD      
BASF,BASF INDIA LTD           
CENTURYPLY,CENTURY PLYBOARDS (I) LTD
ADANITRANS,ADANI TRANSMISSION LTD   
LAXMIMACH,LAKSHMI MACHINES LTD     
ENIL,ENTERTAIN NET. IND. LTD. 
MMTC,MMTC LIMITED             
GRINDWELL,GRINDWELL NORTON LIMITED 
ASAHIINDIA,ASAHI INDIA GLASS LIMITED
MOIL,MOIL LIMITED             
REPCOHOME,REPCO HOME FINANCE LTD   
SADBHIN,SADBHAV INFRA PROJ LTD.  
SUNDRMFAST,SUNDRAM FASTENERS LTD    
VIDEOIND,VIDEOCON INDUSTRIES LIMIT
STRTECH,STERLITE TECHNOLOGIES LTD
SEQUENT,SEQUENT SCIENTIFIC LTD.  
BLUESTARCO,BLUE STAR LIMITED        
SBBJ,STATE BANK OF BIKANER & J
SCHNEIDER,SCHNEIDER ELECTRIC INFRA 
SINTEX,SINTEX INDUSTRIES LTD    
MHRIL,MAHINDRA HOLIDAYS LTD    
PVR,PVR LIMITED              
ANDHRABANK,ANDHRA BANK              
FCEL,FUTURE CONSUMER ENT LTD  
MAHABANK,BANK OF MAHARASHTRA      
VRLLOG,VRL LOGISTICS LIMITED    
LAOPALA,LA OPALA RG LIMITED      
RALLIS,RALLIS INDIA LTD         
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD
HITACHIHOM,HITACHI HOME & LIFE SOLUT
SHILPAMED,SHILPA MEDICARE LTD      
ALBK,ALLAHABAD BANK           
FDC,FDC LIMITED              
SHK,S H KELKAR AND CO. LTD.  
AEGISCHEM,AEGIS LOGISTICS LIMITED  
HATHWAY,HATHWAY CABLE & DATACOM  
ASHOKA,ASHOKA BUILDCON LTD      
TRITURBINE,TRIVENI TURBINE LIMITED  
KALPATPOWR,KALPATARU POWER TRANS. LT
KEC,KEC INTL. LIMITED        
KPRMILL,KPR MILL LTD.            
ORIENTCEM,ORIENT CEMENT LTD.       
TECHNO,TECHNO ELT & ENG CO. LTD 
CANFINHOME,CAN FIN HOMES LTD        
HDIL,HOUSING DEV & INFRA LTD  
CROMPGREAV,CROMPTON GREAVES LTD     
COX&KINGS,COX & KINGS LIMITED      
KIRLOSENG,KIRLOSKAR OIL ENG LTD    
GDL,GATEWAY DISTRIPARKS LTD. 
NIITTECH,NIIT TECHNOLOGIES LTD    
SHOPERSTOP,SHOPPERS STOP LIMITED    
SCI,SHIPPING CORP OF INDIA LT
GREAVESCOT,GREAVES COTTON LTD.      
JMFINANCIL,JM FINANCIAL LIMITED     
TIMKEN,TIMKEN INDIA LTD.        
CHENNPETRO,CHENNAI PETROLEUM CORP LT
DHANUKA,DHANUKA AGRITECH LTD     
MANAPPURAM,MANAPPURAM FINANCE LTD   
RTNPOWER,RATTANINDIA POWER LIMITED
J&KBANK,J & K BANK LTD.          
KPIT,KPIT TECHNOLOGIES LTD    
ASTRAZEN,ASTRAZENECA PHARMA IND LT
MONSANTO,MONSANTO INDIA LIMITED   
ZYDUSWELL,ZYDUS WELLNESS LIMITED   
BIRLACORPN,BIRLA CORPORATION LTD    
WABAG,VA TECH WABAG LTD        
SREINFRA,SREI INFRASTRUCTURE FINAN
CARERATING,CARE LIMITED             
OCL,OCL INDIA LTD            
ORIENTBANK,ORIENTAL BANK OF COMMERCE
SBT,STATE BANK OF TRAVANCORE 
PNCINFRA,PNC INFRATECH LTD.       
DISHMAN,DISHMAN PHARMA & CHEM LTD
VIJAYABANK,VIJAYA BANK              
SOBHA,SOBHA LIMITED            
INDOCO,INDOCO REMEDIES LTD.     
JISLJALEQS,JAIN IRRIGATION SYSTEMS  
INDIACEM,THE INDIA CEMENTS LIMITED
VGUARD,V-GUARD IND LTD.         
OMAXE,OMAXE LIMITED            
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD
WELCORP,WELSPUN CORP LIMITED     
TRIDENT,TRIDENT LIMITED          
KSCL,KAVERI SEED CO. LTD.     
TATAINVEST,TATA INVESTMENT CORP LTD 
NAVKARCORP,NAVKAR CORPORATION LTD.  
IBREALEST,INDIABULLS REAL EST. LTD 
SFCL,STAR FERRO & CEMENT LTD. 
CCL,CCL PRODUCTS (I) LTD     
GSFC,GUJ STATE FERT & CHEM LTD
BBTC,BOMBAY BURMAH TRADING COR
VSTIND,VST INDUSTRIES LTD       
GULFOILLUB,GULF OIL LUB. IND. LTD.  
GRANULES,GRANULES INDIA LIMITED   
ESSELPACK,ESSEL PROPACK LTD        
RAYMOND,RAYMOND LTD              
KWALITY,KWALITY LIMITED          
SUVEN,SUVEN LIFE SCIENCES LTD  
SITICABLE,SITI CABLE NETWORK LTD   
SOUTHBANK,THE SOUTH INDIAN BANK LTD
CERA,CERA SANITARYWARE LTD    
IL&FSTRANS,IL&FS TRANS NET LTD      
MANPASAND,MANPASAND BEVERAGES LTD. 
CHAMBLFERT,CHAMBAL FERTILIZERS LTD  
TIDEWATER,TIDE WATER OIL LTD       
LINDEINDIA,LINDE INDIA LIMITED      
INTELLECT,INTELLECT DESIGN ARENA   
FSL,FIRSTSOURCE SOLU. LTD.   
DCMSHRIRAM,DCM SHRIRAM LIMITED      
DCBBANK,DCB BANK LIMITED         
KSBPUMPS,KSB PUMPS LTD            
TEXRAIL,TEXMACO RAIL & ENG. LTD. 
WONDERLA,WONDERLA HOLIDAYS LTD.   
MINDACORP,MINDA CORPORATION LTD    
8KMILES,8K MILES SOFT SERV LTD   
RUPA,RUPA & COMPANY LTD       
KKCL,KEWAL KIRAN CLOTHING LTD 
RESPONIND,RESPONSIVE INDUSTRIES LTD
RATNAMANI,RATNAMANI MET & TUB LTD. 
TCI,TRANSPORT CORPN OF INDIA 
RCF,RASHTRIYA CHEMICALS & FER
NESCO,NESCO LTD.               
RAMCOSYS,RAMCO SYSTEMS LTD.       
BFUTILITIE,BF UTILITIES LIMITED     
SHARDACROP,SHARDA CROPCHEM LTD.     
JBCHEPHARM,J B CHEMICALS AND PHARMA 
GREENPLY,GREENPLY INDUSTRIES LTD  
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT
GMDCLTD,GUJARAT MINERAL DEV CORP 
JKIL,JKUMAR INFR.LTD.         
HMT,HINDUSTAN MACHINE TOOLS L
KITEX,KITEX GARMENTS LTD       
ELGIEQUIP,ELGI EQUIPMENTS LTD      
INGERRAND,INGERSOLL-RAND INDIA LTD 
AHLUCONT,AHLUWALIA CONT IND LTD   
MCLEODRUSS,MCLEOD RUSSEL INDIA LTD. 
HSIL,HSIL LIMITED             
NAVNETEDUL,NAVNEET EDUCATION LTD    
HFCL,HIMACHAL FUT COM LTD     
UNICHEMLAB,UNICHEM LABORATORIES LTD 
VINATIORGA,VINATI ORGANICS LTD      
BRFL,BOMBAY RAYON FASHIONS LTD
KTKBANK,KARNATAKA BANK LIMITED   
HIMATSEIDE,HIMATSINGKA SEIDE LTD    
BAJAJELEC,BAJAJ ELECT.LTD          
JKTYRE,JK TYRE & INDUSTRIES LTD 
PFS,PTC INDIA FIN SERV LTD   
POLARIS,POLARIS CONSULTG & SER LT
MARKSANS,MARKSANS PHARMA LIMITED  
PTC,PTC INDIA LIMITED        
JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD
DENABANK,DENA BANK                
GAYAPROJ,GAYATRI PROJECTS LTD     
INOXLEISUR,INOX LEISURE LIMITED     
TVTODAY,TV TODAY NETWORK LTD     
HEIDELBERG,HEIDELBERGCEMENT (I) LTD 
HMVL,HINDUSTAN MEDIA VENT LTD 
AVANTIFEED,AVANTI FEEDS LIMITED     
FMGOETZE,FEDERAL-MOGUL GOETZE (IND
MAYURUNIQ,MAYUR UNIQUOTERS LTD     
HTMEDIA,HT MEDIA LIMITED         
JINDALPOLY,JINDAL POLY FILMS LIMITED
APARINDS,APAR INDUSTRIES LTD.     
MAGMA,MAGMA FINCORP LIMITED    
TVSSRICHAK,TVS SRICHAKRA LIMITED    
TAKE,TAKE SOLUTIONS LTD       
MYSOREBANK,STATE BANK OF MYSORE     
MAHLIFE,MAHINDRA LIFESPACE DEVLTD
SUPRAJIT,SUPRAJIT ENGINEERING LTD 
ESCORTS,ESCORTS INDIA LTD        
DPSCLTD,DPSC LIMITED             
ITDCEM,ITD CEMENTATION INDIA LTD
EVEREADY,EVEREADY INDS. IND.  LTD.
IGARASHI,IGARASHI MOTORS INDIA LTD
TATACOFFEE,TATA COFFEE LIMITED      
LUXIND,LUX INDUSTRIES LIMITED   
SOMANYCERA,SOMANY CERAMICS LIMITED  
NAVINFLUOR,NAVIN FLUORINE INT. LTD  
NILKAMAL,NILKAMAL LIMITED         
BALMLAWRIE,BALMER LAWRIE & CO LTD   
BRIGADE,BRIGADE ENTER. LTD       
BANARISUG,BANNARI AMMAN SUGARS LTD 
UNITEDBNK,UNITED BANK OF INDIA     
MINDAIND,MINDA INDUSTRIES LTD.    
PRAJIND,PRAJ INDUSTRIES LTD      
CLNINDIA,CLARIANT CHEMICALS (INDIA
EROSMEDIA,EROS INTL MEDIA LTD      
APLAPOLLO,APL APOLLO TUBES LTD     
PFOCUS,PRIME FOCUS LIMITED      
SONATSOFTW,SONATA SOFTWARE LTD      
TEAMLEASE,TEAMLEASE SERVICES LTD.  
CAPLIPOINT,CAPLIN POINT LAB LTD.    
QUICKHEAL,QUICK HEAL TECH LTD      
PAPERPROD,HUHTAMAKI PPL LIMITED    
DELTACORP,DELTA CORP LIMITED       
HCC,HINDUSTAN CONSTRUCTION CO
HCG,HEALTHCARE GLOB. ENT. LTD
TNPL,TAMILNADU NEWSPRT & PAPER
FLFL,FUT LIFESTYLE FASH LTD   
VESUVIUS,VESUVIUS INDIA LTD       
JBFIND,JBF INDUSTRIES LTD       
VIPIND,VIP INDUSTRIES LTD       
LAKSHVILAS,LAKSHMI VILAS BANK LTD   
NBVENTURES,NAVA BHARAT VENTURES LIMI
KNRCON,KNR CONSTRU LTD.         
SUNTECK,SUNTECK REALTY LIMITED   
PRECAM,PRECISION CAMSHAFTS LTD. 
GALLISPAT,GALLANTT ISPAT LTD       
GRAPHITE,GRAPHITE INDIA LTD       
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD 
KSK,KSK ENERGY VENTURES LTD  
NFL,NATIONAL FERT. LTD       
PSB,PUNJAB & SIND BANK       
LITL,LANCO INFRATECH LTD.     
JPPOWER,JAIPRAKASH POWER VEN. LTD
SKIPPER,SKIPPER LIMITED          
RENUKA,SHREE RENUKA SUGARS LTD  
GENUSPOWER,GENUS POWER INFRASTRU LTD
ONMOBILE,ONMOBILE GLOBAL LTD.     
